student_id,department,year,gender,attendance_percentage,classes_missed,mood_score,stress_score,sleep_hours,energy_level,gpa,assignments_pending,exam_days_left,study_hours,internal_marks,lab_performance,counselor_sentiment,counselor_visits,extracurricular_hours,financial_stress,social_support,risk_level
134,ME,4,Female,41,16,9,10,6.5,7,6.48,3,21,2.3,76,93,Positive,7,6.6,3,3,Medium
135,IT,2,Male,50,22,3,3,7.3,8,5.92,8,41,9.6,73,42,Positive,0,9.2,4,2,High
136,ME,1,Male,85,9,1,4,6.0,6,5.3,10,42,9.3,98,70,Negative,7,0.2,5,5,High
137,EEE,4,Male,73,17,9,5,3.1,7,9.03,2,6,9.2,73,49,Positive,3,7.4,3,3,Low
138,ME,1,Male,63,25,8,10,4.5,4,6.5,1,41,9.9,81,88,Positive,1,4.9,4,5,Medium
139,CE,1,Male,84,10,2,8,8.1,6,7.83,1,57,5.3,42,54,Positive,7,3.3,1,3,Medium
140,CE,3,Male,99,20,1,4,6.5,7,9.64,4,10,5.6,76,93,Neutral,8,4.0,2,1,Low
141,ME,2,Female,46,27,4,2,5.0,10,9.77,6,49,3.3,80,57,Neutral,7,2.7,5,4,Medium
142,EEE,4,Female,45,39,5,4,7.3,2,6.34,6,45,7.8,49,87,Neutral,5,4.3,1,1,Medium
143,ME,1,Female,88,17,2,3,3.5,7,7.24,8,32,4.1,41,45,Neutral,8,1.1,5,3,Medium
144,ME,3,Female,66,24,2,9,8.4,4,7.86,2,43,3.8,48,57,Neutral,4,5.9,1,2,Medium
145,CE,4,Female,59,30,2,6,4.5,4,8.6,7,38,6.2,69,46,Positive,4,0.1,4,3,Medium
146,ME,3,Female,68,21,7,10,3.8,6,8.02,3,30,3.1,65,60,Neutral,7,11.6,2,3,Medium
147,ME,4,Male,63,7,10,4,6.6,9,5.9,8,1,9.5,69,100,Negative,3,5.3,3,1,High
148,CSE,3,Male,80,19,4,5,7.0,7,8.95,1,28,9.9,70,77,Neutral,8,6.1,4,5,Low
149,CE,2,Female,46,15,6,3,6.9,1,7.82,10,43,6.5,88,61,Neutral,1,0.1,3,2,Medium
150,EEE,3,Female,63,25,8,10,7.1,3,6.72,0,30,1.0,66,98,Positive,1,10.0,2,3,Medium
151,IT,2,Male,90,13,9,8,5.1,2,7.19,7,20,0.7,42,91,Negative,1,0.3,3,1,Medium
152,ME,4,Female,73,11,9,3,5.0,7,9.79,3,51,4.1,51,51,Negative,6,4.7,5,2,Medium
153,IT,3,Female,40,13,4,5,7.5,2,7.89,8,11,3.7,52,69,Positive,4,8.0,4,5,Medium
154,ECE,3,Male,79,25,10,2,5.1,8,8.09,10,45,8.0,98,79,Negative,1,8.1,3,1,Medium
155,ECE,2,Female,51,23,3,9,5.3,10,5.69,6,27,1.9,80,74,Negative,2,6.7,4,3,High
156,IT,4,Female,93,28,10,1,8.2,1,7.42,3,52,3.8,75,72,Negative,7,4.9,4,4,Low
157,CSE,3,Female,50,5,10,1,7.8,4,6.46,4,14,5.4,50,89,Neutral,7,6.6,1,5,Medium
158,CSE,2,Male,74,2,8,9,4.3,7,5.51,10,48,2.5,95,42,Neutral,4,4.2,1,4,Medium
159,EEE,3,Female,91,37,6,10,6.8,3,8.08,3,52,2.1,43,76,Neutral,8,3.4,5,2,Medium
160,IT,4,Female,76,17,9,2,3.8,7,9.59,4,55,6.6,84,95,Positive,3,1.8,3,2,Low
161,CSE,1,Female,49,36,5,7,5.3,2,8.17,1,25,5.2,57,84,Neutral,7,11.4,3,5,Low
162,IT,1,Male,80,22,2,9,5.4,7,9.12,7,17,3.2,58,61,Negative,2,6.8,4,3,High
163,IT,3,Female,46,40,8,1,3.7,3,7.21,0,27,2.0,84,98,Positive,4,1.9,3,1,Medium
164,ECE,4,Male,45,23,3,1,5.4,5,8.63,3,27,6.6,85,46,Positive,3,5.7,2,5,Medium
165,ECE,2,Male,40,21,2,7,7.2,8,5.35,6,5,7.3,46,46,Neutral,5,10.6,2,4,Medium
166,ECE,1,Female,73,36,1,10,6.9,8,6.76,3,40,7.5,98,66,Negative,7,10.3,1,1,Medium
167,CE,2,Female,62,27,6,3,4.5,2,6.24,9,38,7.2,58,89,Negative,0,10.2,3,2,High
168,EEE,2,Female,58,3,4,8,5.3,4,7.5,9,4,5.3,40,63,Neutral,2,4.6,5,4,Medium
169,CSE,2,Female,89,4,1,10,3.4,5,6.08,0,60,7.9,72,58,Negative,8,9.2,4,4,High
170,CSE,2,Male,45,19,2,9,8.5,3,7.68,6,37,6.3,93,81,Negative,1,3.7,4,2,High
171,CE,3,Male,99,27,2,8,6.7,1,6.55,10,47,1.8,40,85,Positive,0,2.0,3,5,Medium
172,CSE,4,Male,63,8,5,2,7.6,1,6.68,6,17,5.2,56,85,Negative,1,6.0,5,3,Medium
173,ECE,1,Female,63,10,5,2,8.4,2,6.14,8,0,0.4,95,40,Positive,0,5.7,4,2,Medium
174,ME,1,Female,54,20,4,7,8.5,6,6.36,1,36,3.7,72,83,Positive,2,2.7,5,1,Medium
175,ECE,2,Male,95,18,5,6,3.5,8,5.04,3,18,5.6,59,87,Negative,3,5.6,5,4,Medium
176,ME,4,Male,40,26,1,4,6.2,1,9.75,0,48,6.6,94,87,Negative,4,1.2,5,2,High
177,CE,1,Female,49,17,2,1,8.5,9,7.07,5,29,9.7,45,77,Positive,8,1.6,4,1,Medium
178,CE,1,Male,82,8,4,5,4.6,6,9.63,6,44,8.3,60,60,Neutral,4,2.8,2,2,Low
179,CSE,2,Female,46,10,8,8,4.9,2,7.68,3,28,3.1,56,94,Positive,1,1.9,3,5,Medium
180,CSE,4,Male,49,5,4,6,5.4,1,8.39,4,52,9.9,41,100,Neutral,7,6.7,5,2,Medium
181,CSE,2,Female,91,8,2,1,3.4,4,5.65,6,23,6.9,100,81,Positive,4,11.0,1,1,Medium
182,ECE,2,Female,91,8,2,6,3.7,8,5.25,9,27,8.2,65,71,Positive,6,8.2,2,3,Medium
183,ECE,2,Male,57,28,3,1,6.7,10,6.23,4,31,4.1,75,70,Positive,1,3.4,2,4,Medium
184,ME,3,Male,64,22,8,9,7.7,6,9.56,8,20,3.9,51,41,Neutral,3,0.4,3,1,Medium
185,IT,3,Male,50,6,4,4,4.6,1,8.82,3,36,8.5,91,64,Neutral,2,2.1,5,3,Medium
186,CE,4,Male,85,22,10,10,3.9,4,9.18,7,34,3.1,71,42,Positive,0,2.8,2,1,Medium
187,EEE,4,Male,61,39,4,3,5.0,3,9.59,5,3,0.2,77,85,Positive,1,10.2,3,1,Low
188,ME,3,Female,61,19,6,3,8.9,7,8.96,7,41,3.2,85,75,Negative,5,2.7,5,2,Medium
189,IT,1,Male,48,11,1,10,5.3,10,5.16,9,20,9.2,79,54,Negative,1,11.2,2,3,High
190,ME,4,Male,62,20,3,2,7.9,6,7.23,4,13,2.5,44,62,Neutral,1,8.6,1,4,Medium
191,EEE,1,Female,96,26,8,7,5.1,7,5.51,7,50,8.6,81,88,Negative,3,2.0,1,1,Medium
192,CE,4,Male,56,6,2,6,4.0,7,5.8,1,35,9.4,45,61,Negative,7,8.5,4,2,High
193,ECE,1,Female,43,6,6,4,8.8,7,8.49,8,16,6.6,59,55,Positive,0,4.7,5,4,Medium
194,ME,4,Female,40,27,2,5,7.9,10,7.4,1,1,2.1,80,58,Positive,7,10.1,3,4,Medium
195,CSE,3,Female,45,34,7,3,5.2,7,6.85,7,2,2.6,69,56,Positive,4,6.8,2,1,Medium
196,IT,1,Male,88,37,4,9,3.4,7,9.09,6,34,6.9,99,70,Negative,3,5.7,1,4,Medium
197,IT,1,Male,47,28,3,3,8.8,4,5.63,6,5,9.9,67,52,Negative,2,10.0,3,3,High
198,CE,1,Male,64,35,7,9,5.0,5,7.6,0,50,7.0,77,73,Neutral,1,5.0,2,5,Medium
199,IT,4,Male,76,6,5,9,8.3,7,6.32,10,31,5.7,70,42,Positive,4,4.8,5,5,Medium
200,ECE,3,Female,65,21,4,1,7.5,5,9.49,0,21,8.2,59,59,Neutral,7,10.3,1,2,Low
201,CSE,3,Female,89,20,5,7,6.6,2,5.94,3,58,8.2,87,71,Negative,5,9.9,5,2,Medium
202,ME,1,Male,48,33,10,1,4.0,4,9.18,3,2,4.6,98,63,Negative,3,3.3,4,5,Medium
203,ECE,2,Male,55,23,8,10,5.7,8,7.93,5,22,1.6,97,56,Negative,1,3.4,4,1,High
204,IT,3,Female,81,14,4,5,6.9,9,5.1,10,0,4.7,48,81,Positive,0,2.7,5,3,Medium
205,IT,3,Female,97,24,6,8,4.5,8,6.51,8,52,6.2,77,46,Positive,8,12.0,3,5,Medium
206,CSE,4,Female,83,6,8,2,5.0,5,8.2,4,16,6.6,100,97,Negative,4,2.3,5,2,Medium
207,IT,4,Female,83,8,1,8,9.0,5,9.53,6,24,7.4,77,85,Negative,3,4.1,2,5,Medium
208,ECE,3,Female,72,19,3,9,4.1,2,7.35,4,46,8.1,88,98,Positive,5,7.9,2,3,Medium
209,CSE,4,Female,90,21,6,5,6.5,8,9.26,7,3,8.7,77,77,Negative,1,5.7,2,5,Low
210,IT,2,Female,66,3,3,3,9.0,6,7.05,9,57,9.1,69,49,Neutral,2,9.3,4,3,Medium
211,ME,4,Male,80,3,1,8,4.6,3,7.88,2,31,7.9,89,45,Positive,6,7.6,4,4,Medium
212,ECE,1,Female,42,34,4,6,8.7,6,8.78,8,12,0.2,40,80,Negative,3,2.7,3,3,Medium
213,ME,3,Male,72,37,5,3,3.4,1,6.49,4,29,7.3,78,73,Neutral,6,10.7,2,3,Low
214,CE,1,Male,50,25,1,4,4.3,3,6.06,0,37,5.0,47,63,Negative,0,4.5,3,5,High
215,EEE,2,Female,82,6,1,1,7.1,7,7.22,1,35,2.5,84,49,Positive,0,3.6,1,5,Low
216,ECE,1,Female,93,6,9,10,3.7,2,8.92,7,12,6.1,89,56,Negative,3,4.3,4,3,Medium
217,IT,2,Female,98,13,8,6,4.4,1,8.36,1,53,5.7,71,49,Positive,8,0.9,1,3,Low
218,ECE,2,Female,58,16,8,1,3.6,3,9.37,4,23,8.0,60,67,Negative,1,1.1,1,1,Medium
219,IT,2,Male,62,28,10,5,8.3,2,6.86,5,11,1.1,65,69,Neutral,6,8.3,4,4,Low
220,ME,1,Female,48,3,3,2,5.5,10,7.41,9,43,4.4,79,64,Neutral,0,10.4,2,4,Medium
221,CE,1,Female,68,2,2,5,6.9,1,8.52,10,33,7.7,76,86,Negative,3,11.7,3,5,Medium
222,ECE,1,Female,82,15,8,6,7.0,7,5.74,8,57,9.9,43,40,Negative,2,6.1,4,4,Medium
223,EEE,1,Female,60,15,6,5,3.3,4,7.75,6,25,8.2,45,69,Neutral,7,1.1,4,4,Medium
224,EEE,1,Male,87,1,2,7,5.5,9,7.75,1,50,6.0,79,80,Neutral,8,6.7,4,3,Low
225,CE,3,Male,94,29,6,9,7.6,10,7.37,10,23,7.2,47,46,Negative,3,0.0,3,3,Medium
226,CSE,4,Male,42,10,8,3,7.9,7,5.53,9,12,1.9,99,94,Neutral,3,5.5,2,3,Medium
227,ME,2,Male,99,40,10,2,7.6,8,7.29,9,32,1.3,71,40,Negative,0,6.6,4,5,Medium
228,ME,2,Male,86,8,2,7,6.9,10,9.41,8,56,3.8,78,98,Negative,3,3.3,3,3,Medium
229,CE,3,Male,66,38,9,5,8.1,9,9.3,8,40,2.2,53,79,Negative,4,8.2,2,2,Medium
230,CSE,1,Male,88,22,9,8,6.5,7,8.37,8,18,8.8,67,91,Positive,8,1.3,4,2,Medium
231,IT,4,Male,57,10,5,5,3.9,1,8.45,4,13,7.5,42,62,Neutral,1,7.4,5,2,Medium
232,CE,2,Male,72,18,1,7,5.3,6,9.83,0,0,7.4,52,79,Neutral,3,10.9,3,5,Low
233,EEE,4,Male,58,28,3,2,4.1,3,8.68,1,24,0.4,57,75,Neutral,2,1.9,3,1,Medium
234,CSE,2,Female,42,9,6,10,3.3,10,9.22,4,31,7.9,75,62,Positive,5,6.3,2,5,Medium
235,CSE,3,Female,74,34,7,2,5.1,4,8.32,5,23,2.9,100,88,Negative,8,5.7,5,1,Medium
